task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,12,50,0.0006002380793075819,0.0006002380793075819,0.00035214900970458984
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,13,50,3.257751776788897,3.257751776788897,0.00039553165435791016
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,14,50,0.011253422404478852,0.011253422404478852,0.0003895425796508789
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,15,50,0.002944921485951656,0.002944921485951656,0.0004188776016235352
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,16,50,0.6716472738059892,0.6716472738059892,0.000398106575012207
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,17,50,0.08846080819715867,0.08846080819715867,0.00041593074798583984
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,18,50,0.07383382859085927,0.07383382859085927,0.0003743171691894531
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,19,50,0.5696957735127854,0.5696957735127854,0.000371088981628418
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,20,50,0.02184447170684339,0.02184447170684339,0.00035235881805419924
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,21,50,0.005508287728774303,0.005508287728774303,0.00032469749450683596
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,22,50,0.5192024629360174,0.5192024629360174,0.00035845279693603516
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,23,50,0.15680436221360722,0.15680436221360722,0.000348200798034668
sphere_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,24,50,0.0008770512587862924,0.0008770512587862924,0.0003726053237915039
